"Month","Date","State","TotalSamples","Negative","Positive"
"2020-04","2020-04-21","Goa",1004,,7
"2020-04","2020-04-21","Gujarat",36829,34651,2178
"2020-04","2020-04-21","Haryana",14562,12253,255
"2020-04","2020-04-21","Himachal Pradesh",3341,2933,39
"2020-04","2020-04-21","Jammu and Kashmir",9220,8840,380
"2020-04","2020-04-21","Karnataka",26233,22222,418
"2020-04","2020-04-21","Kerala",20252,19442,426
"2020-04","2020-04-21","Ladakh",1137,896,18
"2020-04","2020-04-21","Madhya Pradesh",20905,19353,1552
"2020-04","2020-04-21","Meghalaya",933,821,12
"2020-04","2020-04-21","Mizoram",135,,1
"2020-04","2020-04-21","Nagaland",537,456,0
"2020-04","2020-04-21","Odisha",11748,,79
"2020-04","2020-04-21","Puducherry",1319,1272,7
"2020-04","2020-04-21","Punjab",7355,6769,251
"2020-04","2020-04-21","Rajasthan",61492,54100,1735
"2020-04","2020-04-21","Tamil Nadu",53045,43582,1596
"2020-04","2020-04-21","Tripura",2604,2602,2
"2020-04","2020-04-21","Uttar Pradesh",37933,36378,1337
"2020-04","2020-04-21","Uttarakhand",4061,3445,46
"2020-04","2020-04-21","West Bengal",6182,,392
"2020-04","2020-04-22","Andhra Pradesh",41512,40699,813
"2020-04","2020-04-22","Arunachal Pradesh",496,441,2
"2020-04","2020-04-22","Bihar",12978,,136
"2020-04","2020-04-22","Chandigarh",529,492,27
"2020-04","2020-04-22","Chhattisgarh",9220,8296,36
"2020-04","2020-04-22","Dadra and Nagar Haveli and Daman and Diu",674,674,0
"2020-04","2020-04-22","Delhi",28309,22713,2248
"2020-04","2020-04-22","Goa",1116,,7
"2020-04","2020-04-22","Gujarat",39421,37014,2407
"2020-04","2020-04-22","Haryana",15561,13397,264
"2020-04","2020-04-22","Himachal Pradesh",3700,3510,39
"2020-04","2020-04-22","Jammu and Kashmir",10039,9632,407
"2020-04","2020-04-22","Jharkhand",5176,5127,49
"2020-04","2020-04-22","Karnataka",29512,25424,427
"2020-04","2020-04-22","Kerala",20821,19998,437
"2020-04","2020-04-22","Madhya Pradesh",22664,21077,1587
"2020-04","2020-04-22","Meghalaya",1046,904,12
"2020-04","2020-04-22","Mizoram",135,,1
"2020-04","2020-04-22","Nagaland",543,481,0
"2020-04","2020-04-22","Odisha",13775,,83
"2020-04","2020-04-22","Puducherry",1473,1354,7
"2020-04","2020-04-22","Punjab",7887,7100,257
"2020-04","2020-04-22","Rajasthan",66257,58552,1888
"2020-04","2020-04-22","Tamil Nadu",59023,49506,1629
"2020-04","2020-04-22","Tripura",3215,3123,2
"2020-04","2020-04-22","Uttar Pradesh",42192,40263,1449
"2020-04","2020-04-22","Uttarakhand",4275,3664,46
"2020-04","2020-04-22","West Bengal",7037,,423
"2020-04","2020-04-23","Andhra Pradesh",48032,47139,893
"2020-04","2020-04-23","Bihar",13785,,148
"2020-04","2020-04-23","Chandigarh",599,557,27
"2020-04","2020-04-23","Chhattisgarh",10346,9206,36
"2020-04","2020-04-23","Dadra and Nagar Haveli and Daman and Diu",913,913,0
"2020-04","2020-04-23","Delhi",30560,24538,2375
"2020-04","2020-04-23","Goa",1206,,7
